"CONTEXT_PARTNER_ID"|"PARTNER_PRODUCT_CODE"|"PARTNER_CAT_CODE"|"EAN"|"MANUFACTURER"|"MANUFACTURER_PART_NUMBER"|"PRODUCT_NAME"|"PRODUCT_DESCRIPTION"|"CATEGORY_LEVEL_1"|"CATEGORY_LEVEL_2"|"CATEGORY_LEVEL_3"|"COUNTRY"|"INVOICE_DATE"|"SALES_QUANTITY"|"SALES_REVENUE"|"TAX_INCLUDED"|"CURRENCY"|"CUSTOMER_COUNTRY"|"CUSTOMER_POSTCODE"|"PARTNER_CUSTOMER_CODE"|"CUSTOMER_NAME"|"CUSTOMER_ADDRESS"|"CUSTOMER_CITY"|"CUSTOMER_CODE"|"CUSTOMER_VAT_NUM"|"INVOICE_NUMBER"|"CUSTOMER_SEGMENTATION"|"VENDOR_PROGRAM_CODE"|"BUNDLE"|"TBA"
"TR3013"|"KW9-00660"|"0301"|""|"MICROSOFT"|"KW9-00660"|"Windows 11 Home OEM 64Bit Turkce"|"Windows 11 Home OEM 64Bit Turkce"|"Isletim Sistemi"|"Isletim Sistemi"|""|"TR"|"2025-03-17"|"20"|"82156.03"|"No"|"TRY"|"TR"|""|""|""|""|"AMASYA"|""|""|"20250317"|"SMB"|""|"No"|""
"TR3013"|"MYNK3TU/A"|"0416"|""|"APPLE"|"MYNK3TU/A"|"iPhone 16 Pro 256GB Desert Titanium"|"iPhone 16 Pro 256GB Desert Titanium"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"2"|"148898.48"|"No"|"TRY"|"TR"|""|""|""|""|"SIVAS"|""|""|"20250317"|"Retail"|""|"No"|""
"TR3013"|"MYNK3TU/A"|"0416"|""|"APPLE"|"MYNK3TU/A"|"iPhone 16 Pro 256GB Desert Titanium"|"iPhone 16 Pro 256GB Desert Titanium"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"1"|"74449.24"|"No"|"TRY"|"TR"|""|""|""|""|"ORDU"|""|""|"20250317"|"Retail"|""|"No"|""
"TR3013"|"MYWX3TU/A"|"0416"|""|"APPLE"|"MYWX3TU/A"|"iPhone 16 Pro Max 256GB Desert Titanium"|"iPhone 16 Pro Max 256GB Desert Titanium"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"4"|"338406.08"|"No"|"TRY"|"TR"|""|""|""|""|"MARDIN"|""|""|"20250317"|"Retail"|""|"No"|""
"TR3013"|"MYWX3TU/A"|"0416"|""|"APPLE"|"MYWX3TU/A"|"iPhone 16 Pro Max 256GB Desert Titanium"|"iPhone 16 Pro Max 256GB Desert Titanium"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"6"|"507609.12"|"No"|"TRY"|"TR"|""|""|""|""|"TEKIRDAG"|""|""|"20250317"|"Retail"|""|"No"|""
"TR3013"|"MYWX3TU/A"|"0416"|""|"APPLE"|"MYWX3TU/A"|"iPhone 16 Pro Max 256GB Desert Titanium"|"iPhone 16 Pro Max 256GB Desert Titanium"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"5"|"423007.6"|"No"|"TRY"|"TR"|""|""|""|""|"AYDIN"|""|""|"20250317"|"Retail"|""|"No"|""
"TR3013"|"MYWX3TU/A"|"0416"|""|"APPLE"|"MYWX3TU/A"|"iPhone 16 Pro Max 256GB Desert Titanium"|"iPhone 16 Pro Max 256GB Desert Titanium"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"2"|"169203.04"|"No"|"TRY"|"TR"|""|""|""|""|"TOKAT"|""|""|"20250317"|"Retail"|""|"No"|""
"TR3013"|"MYNK3TU/A"|"0416"|""|"APPLE"|"MYNK3TU/A"|"iPhone 16 Pro 256GB Desert Titanium"|"iPhone 16 Pro 256GB Desert Titanium"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"1"|"74449.24"|"No"|"TRY"|"TR"|""|""|""|""|"RIZE"|""|""|"20250317"|"Retail"|""|"No"|""
"TR3013"|"MPVX3TU/A"|"0416"|""|"APPLE"|"MPVX3TU/A"|"IPHONE 14 MIDNIGHT 256GB-TUR"|"IPHONE 14 MIDNIGHT 256GB-TUR"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"1"|"44838.41"|"No"|"TRY"|"TR"|""|""|""|""|"AMASYA"|""|""|"20250317"|"Retail"|""|"No"|""
"TR3013"|"MPVX3TU/A"|"0416"|""|"APPLE"|"MPVX3TU/A"|"IPHONE 14 MIDNIGHT 256GB-TUR"|"IPHONE 14 MIDNIGHT 256GB-TUR"|"Akilli Telefon"|"IPHONE"|""|"TR"|"2025-03-17"|"1"|"44838.41"|"No"|"TRY"|"TR"|""|""|""|""|"IZMIR"|""|""|"20250317"|"Retail"|""|"No"|""
